"design","N","rep","K_est","loglik","bic_standard","bic_panel","cf_effect","gamma_weighted","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
"Same-Sign",10000,44,2,-21461.315691399,43152.8898920974,43076.6924721788,-3.4115550083821,0.0419305773103998,2,5,2,2
"Same-Sign",10000,44,3,-22003.4518252474,44356.8965846299,44241.0765063536,12.9199010643599,0.0376774301344862,2,5,2,2
"Same-Sign",10000,44,4,-21797.874746777,44065.4768525249,43910.0341158909,7.53970034287746,0.000352149293282123,2,5,2,2
"Same-Sign",10000,44,5,-21442.5361443211,43474.5340724487,43279.4686774571,-5.02215873367142,0.0050012888943436,2,5,2,2
"Same-Sign",10000,45,1,-21473.9814333958,43058.4869512553,43021.9121896943,6.63466130602315,0.0636958886468731,1,5,4,1
"Same-Sign",10000,45,2,-21532.3121964158,43294.882902131,43218.6854822125,3.28172535487269,0.0593200651277249,1,5,4,1
"Same-Sign",10000,45,3,-21797.301712366,43944.596358867,43828.7762805908,-0.104262283739321,0.0307577984859952,1,5,4,1
"Same-Sign",10000,45,4,-21805.1575283891,44080.0424157489,43924.599679115,2.81083921571604,0.0243461001049716,1,5,4,1
"Same-Sign",10000,45,5,-21989.31506533,44568.0919144664,44373.0265194748,5.88704830360263,0.00984429765480016,1,5,4,1
"Same-Sign",10000,46,1,-21538.6992756078,43187.9226356794,43151.3478741185,13.6850111214889,0.0407190445878444,1,5,2,1
"Same-Sign",10000,46,2,-21944.7957380828,44119.8499854649,44043.6525655463,5.52570871008334,0.0621293930753081,1,5,2,1
"Same-Sign",10000,46,3,-21989.9699244309,44329.932782997,44214.1127047207,15.4767583056803,0.00482744020541392,1,5,2,1
"Same-Sign",10000,46,4,-21559.7430444649,43589.2134479005,43433.7707112666,1.13772004185465,0.0125792435461193,1,5,2,1
"Same-Sign",10000,46,5,-21401.6035380254,43392.6688598572,43197.6034648657,-0.260490327163989,0.0533638441839746,1,5,2,1
"Same-Sign",10000,47,1,-21728.9514314964,43568.4269474566,43531.8521858957,-1.18503053902667,0.0577146899324737,2,5,3,2
"Same-Sign",10000,47,2,-21551.8406466998,43333.9398026989,43257.7423827803,16.3361046129712,-0.00332504100194051,2,5,3,2
"Same-Sign",10000,47,3,-21707.8235417467,43765.6400176284,43649.8199393522,10.067539260048,-0.00492294515618023,2,5,3,2
"Same-Sign",10000,47,4,-21788.9881905296,44047.7037400299,43892.261003396,6.64481477279344,0.0170195551049791,2,5,3,2
"Same-Sign",10000,47,5,-21751.6416262926,44092.7450363918,43897.6796414002,8.92129855273668,0.0107821707225462,2,5,3,2
"Same-Sign",10000,48,1,-21666.4915453083,43443.5071750804,43406.9324135195,-1.67771964013841,0.118600400090768,2,5,5,5
"Same-Sign",10000,48,2,-21615.2935560156,43460.8456213307,43384.6482014121,-4.24239096238939,0.0442202949191915,2,5,5,5
"Same-Sign",10000,48,3,-21584.6399270994,43519.2727883339,43403.4527100577,3.97897024089619,0.0473150867638372,2,5,5,5
"Same-Sign",10000,48,4,-21727.894698575,43925.5167561208,43770.0740194869,-2.68885732568215,0.0425691119277682,2,5,5,5
"Same-Sign",10000,48,5,-21740.5147064432,44070.4911966928,43875.4258017012,7.12049899621329,0.047978893940296,2,5,5,5
"Same-Sign",10000,49,1,-21858.2301603848,43826.9844052333,43790.4096436723,1.50896814785291,0.0748275061971015,2,4,2,2
"Same-Sign",10000,49,2,-21548.0626893738,43326.3838880469,43250.1864681283,-5.1744343713342,0.060730780973011,2,4,2,2
"Same-Sign",10000,49,3,-21648.840458779,43647.6738516931,43531.8537734169,-0.186040517159922,0.0964399871022081,2,4,2,2
"Same-Sign",10000,49,4,-21757.8693539306,43985.466066832,43830.0233301981,0.750260900048812,0.0635000000426728,2,4,2,2
"Same-Sign",10000,49,5,-21660.8951011233,43911.251986053,43716.1865910614,-0.399292876762008,0.0351603195118529,2,4,2,2
"Same-Sign",10000,50,1,-21585.8164951023,43282.1570746682,43245.5823131073,4.88263949664887,0.0470977323321902,1,5,3,1
"Same-Sign",10000,50,2,-21564.3185302712,43358.8955698418,43282.6981499232,3.53851621185408,0.0619294151967263,1,5,3,1
"Same-Sign",10000,50,3,-21741.5308592728,43833.0546526806,43717.2345744044,-5.4191888239233,0.047686841006829,1,5,3,1
"Same-Sign",10000,50,4,-21597.2599845617,43664.2473280942,43508.8045914602,6.09107023766829,0.0138351798775386,1,5,3,1
"Same-Sign",10000,50,5,-21734.8239570205,44059.1096978474,43864.0443028558,9.6839892035825,0.00218001104155821,1,5,3,1
"Same-Sign",10000,51,1,-21790.7527042087,43692.0294928812,43655.4547313202,10.511857205436,0.0598149119075908,2,5,5,5
"Same-Sign",10000,51,2,-21699.4142893487,43629.0870879968,43552.8896680782,8.9828753777958,-0.0149028681981285,2,5,5,5
"Same-Sign",10000,51,3,-21694.514165426,43739.0212649871,43623.2011867109,-3.85529171001568,0.0623372782861778,2,5,5,5
"Same-Sign",10000,51,4,-21703.4522750178,43876.6319090064,43721.1891723725,1.45695418660078,0.033651005196981,2,5,5,5
"Same-Sign",10000,51,5,-21795.8078139607,44181.0774117279,43986.0120167364,0.100115571820604,0.00895627316301118,2,5,5,5
"Same-Sign",10000,52,1,-21420.040991743,42950.6060679498,42914.0313063888,-6.63678636816465,0.05482903182037,1,5,2,1
"Same-Sign",10000,52,2,-21423.4152642121,43077.0890377235,43000.8916178049,15.4840888541647,0.017817806270227,1,5,2,1
"Same-Sign",10000,52,3,-21896.8753555488,44143.7436452327,44027.9235669564,7.80856553628476,0.0120817980744058,1,5,2,1
"Same-Sign",10000,52,4,-21634.4017581468,43738.5308752644,43583.0881386305,5.31054938099688,0.0341236281401471,1,5,2,1
"Same-Sign",10000,52,5,-21346.1396398597,43281.7410635258,43086.6756685342,-4.81766693652748,0.0386200472195941,1,5,2,1
"Same-Sign",10000,53,1,-21475.1914999093,43060.9070842824,43024.3323227214,0.986437537981543,0.00696611538837003,1,3,3,3
"Same-Sign",10000,53,2,-21763.0665772605,43756.3916638205,43680.1942439019,3.89048325711453,0.0388695069053673,1,3,3,3
"Same-Sign",10000,53,3,-21770.4988890368,43890.9907122087,43775.1706339324,5.28046892855248,0.0262738899879488,1,3,3,3
"Same-Sign",10000,53,4,-21498.0558453262,43465.8390496231,43310.3963129892,5.20234664243866,0.00681001432272196,1,3,3,3
"Same-Sign",10000,53,5,-21488.2435443035,43565.9488724135,43370.883477422,-0.121185022054489,0.0362817900273098,1,3,3,3
"Same-Sign",10000,54,1,-21963.8667338081,44038.2575520799,44001.682790519,5.06530768272136,0.0618964859669041,5,5,2,5
"Same-Sign",10000,54,2,-21785.4728530296,43801.2042153587,43725.0067954401,7.03527143266147,0.0351387307121408,5,5,2,5
"Same-Sign",10000,54,3,-22017.3849947038,44384.7629235428,44268.9428452665,-11.7567936831367,0.054325681445181,5,5,2,5
"Same-Sign",10000,54,4,-21591.3354832985,43652.3983255677,43496.9555889338,5.2060495335821,0.0213720681843917,5,5,2,5
