"N","rep","K_est","loglik","bic","n_params","cf_effect_pp","cf_effect_pct","purchase_base","purchase_cf","gamma_weighted","converged","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
10000,83,1,-64730453724.635,129460907486.111,4,0,NA,0,0,-42510376.6077197,FALSE,3,5,5,5
10000,83,2,-6864.73742372568,13812.3679107991,9,0,0,0.4423,0.4423,-11382443.1512834,TRUE,3,5,5,5
10000,83,3,-6831.11692665564,13791.178618519,14,-1.75697429605382,-3.82059120642035,0.4423,0.459869742960538,467326.5665304,TRUE,3,5,5,5
10000,83,4,-6864.73742372568,13904.4713145189,19,0,0,0.4423,0.4423,1534035.9548684,TRUE,3,5,5,5
10000,83,5,-6864.74115053897,13950.5304700054,24,7.9434002586698e-05,0.000179593422696382,0.4422998573797,0.442299063039674,-7527977.60615685,TRUE,3,5,5,5
10000,84,1,-615093246702.275,1230186493441.39,4,0,NA,0,0,-44824148.3620352,FALSE,2,3,5,2
10000,84,2,-6865.20027855046,13813.2936204487,9,0,0,0.4425,0.4425,13831334.542256,TRUE,2,3,5,2
10000,84,3,-6865.20027855046,13859.3453223086,14,0,0,0.4425,0.4425,-1749652.5315465,TRUE,2,3,5,2
10000,84,4,-6865.20027855046,13905.3970241685,19,0,0,0.4425,0.4425,2730939.91329691,TRUE,2,3,5,2
10000,84,5,-6827.63373877858,13876.3156464846,24,-2.02458807192133,-4.37516173839225,0.4425,0.462745880719214,11967511.065627,TRUE,2,3,5,2
10000,85,1,-54055189578.0558,108110379192.953,4,0,NA,0,0,-36607758.0238866,FALSE,4,3,5,3
10000,85,2,-6869.73967211337,13822.3724075745,9,0,0,0.4445,0.4445,-15858289.8784107,TRUE,4,3,5,3
10000,85,3,-6869.73967211337,13868.4241094344,14,0,0,0.4445,0.4445,9427464.57258558,TRUE,4,3,5,3
10000,85,4,-6813.60042700441,13802.1973210764,19,2.09873618992726,4.95554559915659,0.4445,0.423512638100727,-2120818.23156436,TRUE,4,3,5,3
10000,85,5,-6829.30310319164,13879.6543753107,24,1.51695902329553,3.53331371080525,0.4445,0.429330409767045,1562391.19611788,TRUE,4,3,5,3
10000,86,1,-301894465382.89,603788930802.622,4,2.91,6.68658088235295,0.4643,0.4352,2943977.44141899,FALSE,2,3,5,2
10000,86,2,-6850.09703650768,13783.0871363631,9,0,0,0.4363,0.4363,21531314.6903616,TRUE,2,3,5,2
10000,86,3,-6850.09710476539,13829.1389747385,14,1.52656212670799e-06,3.49888195247611e-06,0.436299995500067,0.436299980234446,-7052911.48340936,TRUE,2,3,5,2
10000,86,4,-6850.09703650768,13875.1905400829,19,0,0,0.4363,0.4363,16046750.1296798,TRUE,2,3,5,2
10000,86,5,-6850.09703650768,13921.2422419428,24,0,0,0.4363,0.4363,-4641429.06179599,TRUE,2,3,5,2
10000,87,1,-591094507261.791,1182189014560.42,4,0.409999999999999,0.413389796329904,0.9959,0.9918,12745714.0722488,FALSE,2,3,5,2
10000,87,2,-6865.20027855046,13813.2936204487,9,0,0,0.4425,0.4425,-846661.830447802,TRUE,2,3,5,2
10000,87,3,-6865.20027855046,13859.3453223086,14,0,0,0.4425,0.4425,-348830.9924552,TRUE,2,3,5,2
