cbsa,year,peducgrp,praceeth3,age_cat,prob_se,prob_mobile,n
11100,2015,4,7,18-29,0,,1
11100,2015,1,7,30-44,0,0,1
11100,2015,3,6,30-44,0,0,1
11100,2015,4,6,30-44,0,1,1
11100,2015,3,6,45-64,0,.52148449,3
11100,2015,4,2,45-64,0,0,1
11100,2017,3,6,18-29,0,1,1
11100,2017,3,2,30-44,1,0,1
11100,2017,1,2,45-64,0,0,1
11100,2017,1,6,45-64,0,0,1
11100,2017,2,6,45-64,0,.27565852,3
11100,2017,3,1,45-64,0,0,2
11100,2017,3,6,45-64,0,.29235795,4
11100,2017,4,6,45-64,0,.35904697,3
11100,2019,2,6,18-29,0,,1
11100,2019,2,2,30-44,0,,1
11100,2019,2,1,45-64,0,,1
11100,2019,2,6,45-64,0,,1
11100,2019,3,6,45-64,0,,3
11100,2019,4,6,45-64,0,,1
11100,2021,2,6,18-29,0,,1
11100,2021,3,2,18-29,0,,1
11100,2021,4,6,18-29,0,,1
11100,2021,2,2,30-44,0,,2
11100,2021,3,6,30-44,0,,1
11100,2021,4,6,30-44,0,,1
11100,2023,2,2,18-29,0,,1
11100,2023,2,6,18-29,0,,1
11100,2023,3,6,18-29,0,,1
11100,2023,1,2,30-44,0,,1
11100,2023,2,1,30-44,0,,1
11100,2023,3,2,30-44,0,,1
11100,2023,3,6,30-44,.42044681,,2
11100,2023,4,6,30-44,0,,1
11100,2023,2,2,45-64,0,,1
11460,2013,2,6,18-29,0,1,2
11460,2013,3,6,18-29,0,1,1
11460,2013,4,6,18-29,0,1,1
11460,2013,2,6,30-44,0,.41425693,2
11460,2013,3,2,30-44,0,1,1
11460,2013,3,6,30-44,.41510701,.41510701,2
11460,2013,4,1,30-44,0,1,1
11460,2013,4,6,30-44,.37969521,.44056803,5
11460,2013,3,6,45-64,0,0,1
11460,2013,4,1,45-64,1,0,1
11460,2013,4,6,45-64,0,.3242608,3
11460,2015,3,1,18-29,0,0,1
11460,2015,4,3,18-29,0,1,1
11460,2015,4,6,18-29,0,1,1
11460,2015,1,2,30-44,0,0,1
11460,2015,1,6,30-44,0,0,1
11460,2015,3,6,30-44,0,1,2
11460,2015,4,6,30-44,0,.65577209,3
11460,2015,2,6,45-64,0,0,1
11460,2015,3,6,45-64,0,0,1
11460,2015,4,6,45-64,0,.32494256,3
11460,2017,4,1,18-29,0,1,1
11460,2017,4,2,18-29,0,1,1
11460,2017,4,3,18-29,0,1,1
11460,2017,4,6,18-29,0,1,1
11460,2017,2,6,30-44,1,,1
11460,2017,3,2,30-44,0,0,1
11460,2017,3,6,30-44,0,1,1
11460,2017,4,6,30-44,0,.83966798,6
11460,2017,2,6,45-64,0,1,1
11460,2017,3,6,45-64,0,.38418218,3
11460,2017,4,3,45-64,0,1,1
11460,2017,4,6,45-64,.3268263,.33003688,6
11460,2019,4,1,18-29,0,,1
11460,2019,4,6,18-29,0,,3
11460,2019,3,1,30-44,0,,1
11460,2019,3,2,30-44,0,,1
11460,2019,3,6,30-44,0,,1
11460,2019,2,1,45-64,0,,1
11460,2019,2,6,45-64,0,,1
11460,2019,3,1,45-64,0,,1
11460,2019,3,6,45-64,0,,2
11460,2019,4,1,45-64,0,,2
11460,2019,4,6,45-64,0,,4
11460,2021,2,6,18-29,0,,1
11460,2021,4,2,18-29,0,,1
11460,2021,4,6,18-29,0,,1
11460,2021,2,2,30-44,0,,1
11460,2021,3,6,30-44,0,,3
11460,2021,4,2,30-44,0,,2
11460,2021,4,3,30-44,0,,1
11460,2021,4,6,30-44,0,,5
11460,2021,1,6,45-64,0,,1
11460,2021,2,2,45-64,0,,1
11460,2021,3,6,45-64,0,,1
11460,2021,4,3,45-64,1,,1
11460,2021,4,6,45-64,.20934458,,4
11460,2023,4,3,18-29,0,,1
11460,2023,4,6,18-29,0,,1
11460,2023,2,6,30-44,0,,1
11460,2023,4,6,30-44,0,,5
11460,2023,3,6,45-64,0,,1
11460,2023,4,1,45-64,0,,1
11460,2023,4,6,45-64,1,,1
11500,2013,3,6,30-44,0,0,1
11500,2013,4,6,30-44,0,0,1
11500,2013,1,6,45-64,.45422509,0,2
11500,2013,3,1,45-64,0,1,1
11500,2013,3,6,45-64,.31271592,.68728405,3
11500,2013,4,2,45-64,0,1,1
11500,2013,4,6,45-64,0,0,1
11540,2013,2,2,18-29,0,1,1
11540,2013,2,6,18-29,0,1,2
11540,2013,3,6,18-29,0,1,1
11540,2013,4,6,18-29,0,1,4
11540,2013,2,6,30-44,0,0,1
11540,2013,3,6,30-44,0,.572981,2
11540,2013,4,6,30-44,.21147881,.63020158,5
11540,2013,2,6,45-64,.18576717,.21216986,5
11540,2013,3,6,45-64,0,0,1
11540,2013,4,6,45-64,.12719552,.42650756,7
11540,2015,1,1,18-29,0,0,1
11540,2015,2,6,18-29,0,1,2
11540,2015,3,6,30-44,0,.66615969,3
11540,2015,4,6,30-44,0,1,1
11540,2015,2,6,45-64,0,0,1
11540,2015,3,6,45-64,.33009779,0,3
11540,2015,4,6,45-64,0,.2707901,3
11540,2017,2,2,18-29,0,1,1
11540,2017,2,6,18-29,0,0,1
11540,2017,2,6,30-44,0,0,2
11540,2017,3,1,30-44,0,1,1
11540,2017,3,6,30-44,0,0,2
11540,2017,4,6,30-44,0,1,3
11540,2017,2,6,45-64,0,0,1
11540,2017,3,6,45-64,0,0,3
11540,2017,4,6,45-64,0,0,2
11540,2019,3,3,18-29,0,,1
11540,2019,3,6,18-29,0,,1
11540,2019,4,6,18-29,0,,1
11540,2019,4,7,18-29,0,,1
11540,2019,2,6,30-44,0,,1
11540,2019,3,6,30-44,0,,1
11540,2019,2,6,45-64,0,,1
11540,2019,3,6,45-64,0,,1
11540,2019,4,6,45-64,0,,2
11540,2021,2,6,18-29,1,,1
11540,2021,3,6,18-29,0,,1
11540,2021,2,6,30-44,0,,1
11540,2021,3,6,30-44,0,,1
11540,2021,4,6,30-44,1,,1
11540,2021,2,6,45-64,0,,1
11540,2021,3,6,45-64,0,,1
11540,2021,4,6,45-64,0,,1
11540,2023,4,6,18-29,0,,1
11540,2023,3,6,30-44,.17994769,,7
11540,2023,4,6,30-44,0,,4
11540,2023,2,6,45-64,0,,1
11540,2023,3,6,45-64,0,,1
11540,2023,4,6,45-64,.62118661,,2
11540,2023,4,7,45-64,0,,1
11700,2013,2,6,18-29,0,0,2
11700,2013,3,1,18-29,0,1,1
11700,2013,4,6,18-29,0,0,1
11700,2013,2,2,30-44,0,0,1
11700,2013,2,6,30-44,0,.19127105,5
11700,2013,3,6,30-44,0,.30574307,3
11700,2013,4,6,30-44,0,1,1
11700,2013,1,6,45-64,0,0,1
11700,2013,2,1,45-64,0,0,1
11700,2013,2,6,45-64,.23503411,0,4
11700,2013,3,2,45-64,0,0,1
11700,2013,4,6,45-64,0,0,5
11700,2015,2,6,18-29,0,0,1
11700,2015,3,6,18-29,0,0,1
11700,2015,4,6,30-44,.3334401,1,3
11700,2015,2,6,45-64,0,.51039112,2
11700,2015,4,6,45-64,.20335853,.24269803,5
11700,2017,4,6,18-29,0,1,1
11700,2017,3,6,30-44,0,1,2
11700,2017,3,6,45-64,0,0,1
11700,2019,1,6,18-29,0,,1
11700,2019,2,2,30-44,0,,1
11700,2019,2,3,30-44,1,,1
11700,2019,2,6,30-44,0,,1
11700,2019,4,6,30-44,0,,3
11700,2019,2,6,45-64,0,,2
11700,2019,3,1,45-64,0,,1
11700,2019,3,2,45-64,0,,1
